fold_0,fold_1,fold_2,fold_3,fold_4
,ANXA4_y,,,
,LOC101927356_x,,,
,LOC100506858_y,,,
,ANHX_x,,,
,RNF115_y,,,
,NF1_y,,,
,DEFB121_x,,,
,SNORD104_y,,,
,LOC101929076_y,,,
,LOC100507670_y,,,
,PIGZ_y,,,
,RSPH4A_y,,,
,CEP120_x,,,
,SELENON_y,,,
,XYLT2_y,,,
,ADCY7_x,,,
,LRP6_y,,,
,DRD5_x,,,
,JRKL-AS1_y,,,
,IGSF11-AS1_y,,,
,RAB21_x,,,
,CDRT8_x,,,
,ZSCAN1_y,,,
,SNRK-AS1_x,,,
,LOC100422737_y,,,
,LINC00430_y,,,
,MAP2K4_x,,,
,NLGN4Y-AS1_x,,,
,MIR7854_y,,,
,LOC100506858_x,,,
,ZBTB20-AS1_x,,,
,MIR4279_y,,,
,ANKRD13D_y,,,
,MIR6800_y,,,
,SRRM2-AS1_y,,,
,HCAR1_x,,,
,ANKAR_y,,,
,DUSP12_y,,,
,ZNF511_y,,,
,LINC01144_y,,,
,TCTN1_x,,,
,ZBED4_y,,,
,IFT52_y,,,
,NEK11_y,,,
,SYNGR1_y,,,
,SNORA2C_x,,,
,SIMC1_x,,,
,TTC33_y,,,
,HOXA10-AS_x,,,
,TCEA2_y,,,
,PFKL_x,,,
,ZNF407_x,,,
,MYH6_x,,,
,ACP7_x,,,
,CRSP8P_y,,,
,C11orf88_y,,,
,MIR7976_x,,,
,PCGF2_y,,,
,NBPF22P_y,,,
,RIPK3_x,,,
,CLDN25_y,,,
,SMN2_y,,,
,TMEM215_y,,,
,NEU3_x,,,
,LOC100996693_y,,,
,PIN4P1_x,,,
,PRPF4_y,,,
,CDC40_x,,,
,DBH-AS1_x,,,
,MIR202_x,,,
,TMCO2_y,,,
,VCPKMT_y,,,
,BIRC6_x,,,
,BLOC1S3_x,,,
,SCRN2_y,,,
,HIST1H1D_x,,,
,SMYD3_y,,,
,BPHL_y,,,
,PLEKHA4_x,,,
,CNPPD1_x,,,
,UQCRC2_x,,,
,C11orf24_x,,,
,PARP8_y,,,
,HN1L_x,,,
,KIF9-AS1_y,,,
,CXCR1_x,,,
,LINC02070_y,,,
,ZNF865_x,,,
,FLJ31356_x,,,
,CLSTN3_y,,,
,C3orf79_y,,,
,NQO1_y,,,
,MIR4636_y,,,
,MIR4668_x,,,
,FANCC_x,,,
,ABAT_y,,,
,LOC339666_x,,,
,BPIFA4P_y,,,
,MRPS31_x,,,
,NUS1_y,,,
,SNORD115-46_y,,,
,LRRC30_y,,,
,MIR8065_x,,,
,SNORD109B_x,,,
,OR2T8_y,,,
,CBWD5_x,,,
,DOK1_y,,,
,CCDC43_y,,,
,OR2B6_x,,,
,PRRG2_y,,,
,CSNK2A1_x,,,
,TMBIM4_y,,,
,DIS3L2_y,,,
,ADPRHL2_y,,,
,ZNF430_x,,,
,ACY3_y,,,
,WDR83_x,,,
,LOC100996385_y,,,
,AASDH_x,,,
,LOC101929622_x,,,
,KEL_y,,,
,MIR3118-1_y,,,
,PAX9_x,,,
,MICAL3_y,,,
,NPPC_y,,,
,ADAMTS14_x,,,
,SRP68_y,,,
,ZNF777_x,,,
,PRKCQ_y,,,
,SFSWAP_x,,,
,LOC100129291_y,,,
,MIR8064_y,,,
,AGBL4-IT1_x,,,
,RN7SK_x,,,
,LOC102724562_x,,,
,LINC01429_y,,,
,FOXP4_y,,,
,MFSD9_x,,,
,EP400_x,,,
,MCM7_y,,,
,LAMA5_y,,,
,ZNF681_x,,,
,TCTN1_y,,,
,DEFB107A_y,,,
,RDH16_y,,,
,NAP1L6_y,,,
,SGK1_y,,,
,MIR622_x,,,
,CCNC_x,,,
,FLT1_y,,,
,GPAA1_y,,,
,ABCG1_y,,,
,LINC01242_x,,,
,TAF1C_y,,,
,LONP2_y,,,
,CYSLTR2_y,,,
,NDUFB9_y,,,
,FGF14-AS2_y,,,
,GOLGA7_y,,,
,AKR1A1_x,,,
,SREBF1_x,,,
,GGT8P_y,,,
,SNORD21_x,,,
,RPL8_y,,,
,CCDC71L_y,,,
,SNORA71E_x,,,
,CCND3_y,,,
,AURKAPS1_x,,,
,AIF1_x,,,
,SNCG_x,,,
,UMODL1-AS1_y,,,
,LINC01206_y,,,
,DVL3_y,,,
,SETSIP_x,,,
,PVRL3-AS1_y,,,
,ABCC4_y,,,
,NDRG2_x,,,
,METTL18_x,,,
,RNF38_y,,,
,FRG2KP_y,,,
,B4GALT4-AS1_y,,,
,SCAMP2_x,,,
,TBATA_y,,,
,HELT_x,,,
,LINC00909_y,,,
,EIF2B2_y,,,
,LOC102724357_x,,,
,LINC01664_x,,,
,CCDC174_y,,,
,TRHDE_x,,,
,FLJ32255_x,,,
,DUS3L_x,,,
,METTL3_x,,,
,ZNF799_x,,,
,SGTA_y,,,
,SIAH3_y,,,
,MIR4292_x,,,
,TBC1D25_y,,,
,CLEC11A_y,,,
,ANKRD26_x,,,
,CCDC110_y,,,
,ACBD7_y,,,
,LINC00926_y,,,
,LOC101928505_y,,,
,BTG1_y,,,
,OCIAD1_y,,,
,ZSWIM2_x,,,
,MFSD8_y,,,
,FGF4_x,,,
,PLIN5_y,,,
,OR2A12_y,,,
,VAMP4_x,,,
,PAGE3_x,,,
,AP1B1P1_y,,,
,AHCY_y,,,
,FRS2_x,,,
,DAZAP1_y,,,
,GSN-AS1_x,,,
,PPP1R15B_y,,,
,ADGRE2_y,,,
,LINC01586_x,,,
,CDYL_y,,,
,SEPT5-GP1BB_x,,,
,NIM1K_x,,,
,MS4A4A_y,,,
,LOC153910_y,,,
,GLS_x,,,
,ZNF146_y,,,
,LOC101927314_x,,,
,ATP5S_x,,,
,CXorf57_y,,,
,PAQR9_y,,,
,CATSPER2P1_y,,,
,LOC100506207_y,,,
,SNORA71B_x,,,
,GREB1_y,,,
